hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
2201,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-785.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2202,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-800.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2203,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-785.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2204,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-770.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2205,j,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-780.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2206,j,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-790.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2207,q,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-805.0,30.0,p2,showdown,False,2,135.0,145.0,loose_aggressive
2208,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-790.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2209,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-805.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2210,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-820.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2211,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-815.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2212,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-810.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2213,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-795.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2214,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-780.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2215,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-775.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2216,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-770.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2217,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-785.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2218,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-800.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2219,q,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-795.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2220,q,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-810.0,30.0,p2,showdown,False,2,135.0,145.0,loose_aggressive
2221,q,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-825.0,30.0,p2,showdown,False,2,135.0,145.0,loose_aggressive
2222,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-840.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2223,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-855.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2224,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-870.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2225,q,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-885.0,30.0,p2,showdown,False,2,135.0,145.0,loose_aggressive
2226,j,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-895.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2227,j,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-905.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2228,j,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-915.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2229,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-900.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2230,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-885.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2231,j,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-895.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2232,j,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-905.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2233,j,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-915.0,20.0,p2,showdown,True,2,140.0,145.0,loose_aggressive
2234,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-900.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2235,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-885.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2236,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-900.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2237,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,-895.0,10.0,p1,showdown,False,2,145.0,145.0,loose_aggressive
2238,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-910.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2239,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-915.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2240,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-900.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2241,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,-905.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
2242,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-900.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2243,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-915.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2244,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-910.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2245,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-915.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2246,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-920.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
2247,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-935.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2248,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-920.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2249,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-935.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2250,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-920.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2251,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-915.0,20.0,p1,fold,False,2,135.0,145.0,loose_aggressive
2252,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,-900.0,30.0,p1,showdown,False,2,135.0,145.0,loose_aggressive
2253,j,k,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-915.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2254,j,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",-15.0,-930.0,30.0,p2,showdown,True,2,135.0,145.0,loose_aggressive
2255,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,-935.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
2256,q,j,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'min_raise'), ('p1', 'fold')]",-5.0,-940.0,15.0,p2,fold,False,3,145.0,140.0,loose_aggressive
2257,q,k,check,"['check', 'fold']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'fold')]",-5.0,-945.0,20.0,p2,fold,False,3,145.0,135.0,loose_aggressive
