hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
2520,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2910.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2521,q,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2905.0,15.0,p1,fold,False,2,140.0,145.0,rock
2522,k,j,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2900.0,15.0,p1,fold,False,2,140.0,145.0,rock
2523,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2910.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2524,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2915.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2525,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2930.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2526,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2945.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2527,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2940.0,15.0,p1,fold,False,2,140.0,145.0,rock
2528,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2950.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2529,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2945.0,15.0,p1,fold,False,2,140.0,145.0,rock
2530,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2960.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2531,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2955.0,15.0,p1,fold,False,2,140.0,145.0,rock
2532,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2970.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2533,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-2985.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2534,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2990.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2535,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2985.0,15.0,p1,fold,False,2,140.0,145.0,rock
2536,k,q,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'fold')]",5.0,-2980.0,15.0,p1,fold,False,2,140.0,145.0,rock
2537,q,k,min_raise,['min_raise'],"[('p1', 'min_raise'), ('p2', 'call')]",-10.0,-2990.0,20.0,p2,showdown,False,2,140.0,145.0,rock
2538,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,-2995.0,10.0,p2,showdown,False,2,145.0,145.0,rock
2539,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2990.0,20.0,p1,fold,False,2,135.0,145.0,rock
2540,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'fold')]",5.0,-2985.0,20.0,p1,fold,False,2,135.0,145.0,rock
2541,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3000.0,30.0,p2,showdown,False,3,145.0,135.0,rock
2542,j,k,check,"['check', 'call']","[('p1', 'check'), ('p2', 'max_raise'), ('p1', 'call')]",-15.0,-3015.0,30.0,p2,showdown,False,3,145.0,135.0,rock
