hand_idx,p1_card,p2_card,p1_first_action,p1_actions,all_actions,reward_p1,cum_profit,pot_won,winner,ended_by,is_bluff,n_actions,agent_stack,opp_stack,opponent
89,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,290.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
90,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,295.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
91,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,290.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
92,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,285.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
93,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,280.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
94,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,275.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
95,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,290.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
96,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,285.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
97,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,300.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
98,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,295.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
99,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,290.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
100,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,295.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
101,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,290.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
102,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,285.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
103,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,290.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
104,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,295.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
105,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,290.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
106,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,285.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
107,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,300.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
108,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,315.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
109,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,330.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
110,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,335.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
111,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,350.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
112,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,345.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
113,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,340.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
114,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,355.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
115,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,350.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
116,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,365.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
117,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,360.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
118,k,j,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,375.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
119,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,370.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
120,k,q,max_raise,['max_raise'],"[('p1', 'max_raise'), ('p2', 'call')]",15.0,385.0,30.0,p1,showdown,False,2,135.0,145.0,calling_station
121,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,390.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
122,j,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,385.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
123,j,q,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,380.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
124,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,385.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
125,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,380.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
126,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,375.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
127,q,k,check,['check'],"[('p1', 'check'), ('p2', 'check')]",-5.0,370.0,10.0,p2,showdown,False,2,145.0,145.0,calling_station
128,q,j,check,['check'],"[('p1', 'check'), ('p2', 'check')]",5.0,375.0,10.0,p1,showdown,False,2,145.0,145.0,calling_station
